Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Wyrmspan - DMEO,05/20/2026,6:00 PM,05/20/2026,7:00 PM,False,Session: DMEO,Rooks Con 2026,True
Terraforming Mars - Heat 1-3,05/20/2026,7:00 PM,05/20/2026,11:00 PM,False,Session: Heat 1-3,Rooks Con 2026,True
7 Wonders (Base) - Heat 2-3,05/20/2026,7:00 PM,05/20/2026,8:00 PM,False,Session: Heat 2-3,Rooks Con 2026,True
White Castle - DEMO,05/20/2026,7:00 PM,05/20/2026,8:00 PM,False,Session: DEMO,Rooks Con 2026,True
Casual Clocktower (no baubles/coasters/plaques) - Open Play,05/20/2026,8:00 PM,05/20/2026,11:00 PM,False,Session: Open Play,Rooks Con 2026,True
7 Wonders (Base) - Heat 3-3,05/20/2026,8:00 PM,05/20/2026,9:00 PM,False,Session: Heat 3-3,Rooks Con 2026,True
Kingdom Builder - Heat 2-2,05/20/2026,8:00 PM,05/20/2026,9:00 PM,False,Session: Heat 2-2,Rooks Con 2026,True
7 Wonders (Base) - Semi/Final,05/20/2026,9:00 PM,05/20/2026,11:00 PM,False,Session: Semi/Final,Rooks Con 2026,True
Quacks - DEMO,05/20/2026,9:00 PM,05/20/2026,10:00 PM,False,Session: DEMO,Rooks Con 2026,True
Heat Pedal to the Medal - Heat 1-2,05/20/2026,9:00 PM,05/20/2026,11:00 PM,False,Session: Heat 1-2,Rooks Con 2026,True
Magical Athlete - DEMO,05/20/2026,10:30 PM,05/20/2026,11:00 PM,False,Session: DEMO,Rooks Con 2026,True
Magical Athlete - Continuous,05/20/2026,11:00 PM,05/21/2026,1:00 AM,False,Session: Continuous,Rooks Con 2026,True
Skyjo - DEMO,05/21/2026,9:00 AM,05/21/2026,10:00 AM,False,Session: DEMO,Rooks Con 2026,True
First Rat - DEMO,05/21/2026,9:00 AM,05/21/2026,10:00 AM,False,Session: DEMO,Rooks Con 2026,True
Flamecraft - Heat 1-2,05/21/2026,9:00 AM,05/21/2026,11:00 AM,False,Session: Heat 1-2,Rooks Con 2026,True
Mancala - DEMO,05/21/2026,9:00 AM,05/21/2026,10:00 AM,False,Session: DEMO,Rooks Con 2026,True
River of Gold - DEMO,05/21/2026,9:00 AM,05/21/2026,10:00 AM,False,Session: DEMO,Rooks Con 2026,True
Ecos - DEMO,05/21/2026,9:00 AM,05/21/2026,10:00 AM,False,Session: DEMO,Rooks Con 2026,True
Ark Nova - DEMO,05/21/2026,9:00 AM,05/21/2026,10:00 AM,False,Session: DEMO,Rooks Con 2026,True
First Rat - Heat 1-2,05/21/2026,10:00 AM,05/21/2026,12:00 PM,False,Session: Heat 1-2,Rooks Con 2026,True
Quacks - Heat 1-4,05/21/2026,10:00 AM,05/21/2026,11:00 AM,False,Session: Heat 1-4,Rooks Con 2026,True
Space Base - DEMO,05/21/2026,10:00 AM,05/21/2026,11:00 AM,False,Session: DEMO,Rooks Con 2026,True
Aquatica - DEMO,05/21/2026,10:00 AM,05/21/2026,11:00 AM,False,Session: DEMO,Rooks Con 2026,True
Small World - DEMO,05/21/2026,10:00 AM,05/21/2026,11:00 AM,False,Session: DEMO,Rooks Con 2026,True
Cthulhu Wars - DEMO,05/21/2026,11:00 AM,05/21/2026,12:00 PM,False,Session: DEMO,Rooks Con 2026,True
Lords of Waterdeep - Heat 3-3,05/21/2026,11:00 AM,05/21/2026,1:00 PM,False,Session: Heat 3-3,Rooks Con 2026,True
Dominion (Base) - Heat 1-3,05/21/2026,11:00 AM,05/21/2026,12:00 PM,False,Session: Heat 1-3,Rooks Con 2026,True
Trickerion - DEMO,05/21/2026,11:00 AM,05/21/2026,12:00 PM,False,Session: DEMO,Rooks Con 2026,True
Catan (Base Only) - Heat 1-3,05/21/2026,12:00 PM,05/21/2026,2:00 PM,False,Session: Heat 1-3,Rooks Con 2026,True
Lost Ruins of Arnak - Heat 1-2,05/21/2026,12:00 PM,05/21/2026,3:00 PM,False,Session: Heat 1-2,Rooks Con 2026,True
Cthulhu Wars - Heat 1-2,05/21/2026,12:00 PM,05/21/2026,4:00 PM,False,Session: Heat 1-2,Rooks Con 2026,True
Tyrants of the Underdark - Heat 1-2,05/21/2026,12:00 PM,05/21/2026,2:00 PM,False,Session: Heat 1-2,Rooks Con 2026,True
Wyrmspan - Heat 1-3,05/21/2026,1:00 PM,05/21/2026,4:00 PM,False,Session: Heat 1-3,Rooks Con 2026,True
Aquatica - Heat 1-2,05/21/2026,1:00 PM,05/21/2026,2:00 PM,False,Session: Heat 1-2,Rooks Con 2026,True
Lords of Waterdeep - SEMI,05/21/2026,1:00 PM,05/21/2026,3:00 PM,False,Session: SEMI,Rooks Con 2026,True
Stonespine Architects - DEMO,05/21/2026,1:00 PM,05/21/2026,2:00 PM,False,Session: DEMO,Rooks Con 2026,True
Stonespine Architects - Heat 1-2,05/21/2026,2:00 PM,05/21/2026,3:00 PM,False,Session: Heat 1-2,Rooks Con 2026,True
Azul - Heat 1-3,05/21/2026,2:00 PM,05/21/2026,3:00 PM,False,Session: Heat 1-3,Rooks Con 2026,True
Space Base - Heat 1-4,05/21/2026,2:00 PM,05/21/2026,3:00 PM,False,Session: Heat 1-4,Rooks Con 2026,True
Lords of Waterdeep - FINAL,05/21/2026,3:00 PM,05/21/2026,5:00 PM,False,Session: FINAL,Rooks Con 2026,True
Skyjo - Heat 1-3,05/21/2026,3:00 PM,05/21/2026,4:00 PM,False,Session: Heat 1-3,Rooks Con 2026,True
River of Gold - Heat 1-2,05/21/2026,3:00 PM,05/21/2026,5:00 PM,False,Session: Heat 1-2,Rooks Con 2026,True
First Rat - Heat 2-2,05/21/2026,4:00 PM,05/21/2026,6:00 PM,False,Session: Heat 2-2,Rooks Con 2026,True
Catan with Expansions - Heat 2-2,05/21/2026,4:00 PM,05/21/2026,6:00 PM,False,Session: Heat 2-2,Rooks Con 2026,True
Ecos - Heat 1-2,05/21/2026,4:00 PM,05/21/2026,6:00 PM,False,Session: Heat 1-2,Rooks Con 2026,True
Root - Heat 2-3,05/21/2026,5:00 PM,05/21/2026,8:00 PM,False,Session: Heat 2-3,Rooks Con 2026,True
Gravwell - DEMO,05/21/2026,5:00 PM,05/21/2026,6:00 PM,False,Session: DEMO,Rooks Con 2026,True
Celestia - DEMO,05/21/2026,5:00 PM,05/21/2026,6:00 PM,False,Session: DEMO,Rooks Con 2026,True
Stonespine Architects - Heat 2-2,05/21/2026,6:00 PM,05/21/2026,7:00 PM,False,Session: Heat 2-2,Rooks Con 2026,True
Carcassonne - Heat 2-3,05/21/2026,6:00 PM,05/21/2026,7:00 PM,False,Session: Heat 2-3,Rooks Con 2026,True
Ark Nova - Heat 1-3,05/21/2026,6:00 PM,05/21/2026,10:00 PM,False,Session: Heat 1-3,Rooks Con 2026,True
Dominion - Heat 2-3,05/21/2026,7:00 PM,05/21/2026,8:00 PM,False,Session: Heat 2-3,Rooks Con 2026,True
Terraforming Mars - Heat 2-3,05/21/2026,7:00 PM,05/21/2026,11:00 PM,False,Session: Heat 2-3,Rooks Con 2026,True
Casual Clocktower (no baubles/coasters/plaques) - Open Play,05/21/2026,8:00 PM,05/21/2026,11:00 PM,False,Session: Open Play,Rooks Con 2026,True
First Rat - FINAL,05/21/2026,8:00 PM,05/21/2026,10:00 PM,False,Session: FINAL,Rooks Con 2026,True
Quacks - Heat 2-4,05/21/2026,8:00 PM,05/21/2026,9:00 PM,False,Session: Heat 2-4,Rooks Con 2026,True
Kingdomino - Heat 2-3,05/21/2026,9:00 PM,05/21/2026,10:00 PM,False,Session: Heat 2-3,Rooks Con 2026,True
Space Base - Heat 2-3,05/21/2026,9:00 PM,05/21/2026,10:00 PM,False,Session: Heat 2-3,Rooks Con 2026,True
Stonespine Architects - FINAL,05/21/2026,10:00 PM,05/21/2026,11:00 PM,False,Session: FINAL,Rooks Con 2026,True
Liars Dice - Continuous,05/21/2026,11:00 PM,05/22/2026,1:00 AM,False,Session: Continuous,Rooks Con 2026,True
Explorers of the North Sea - DEMO,05/22/2026,9:00 AM,05/22/2026,10:00 AM,False,Session: DEMO,Rooks Con 2026,True
Castles of Burgundy - DEMO,05/22/2026,9:00 AM,05/22/2026,10:00 AM,False,Session: DEMO,Rooks Con 2026,True
Dune Imperium Uprising - DEMO,05/22/2026,9:00 AM,05/22/2026,10:00 AM,False,Session: DEMO,Rooks Con 2026,True
Sagrada - DEMO,05/22/2026,9:00 AM,05/22/2026,10:00 AM,False,Session: DEMO,Rooks Con 2026,True
Cascadia - DEMO,05/22/2026,9:00 AM,05/22/2026,10:00 AM,False,Session: DEMO,Rooks Con 2026,True
Splendor - Heat 1-3,05/22/2026,9:00 AM,05/22/2026,10:00 AM,False,Session: Heat 1-3,Rooks Con 2026,True
Catan (Base Only) - Heat 2-3,05/22/2026,9:00 AM,05/22/2026,11:00 AM,False,Session: Heat 2-3,Rooks Con 2026,True
Trickerion - Heat 1-2,05/22/2026,9:00 AM,05/22/2026,12:00 PM,False,Session: Heat 1-2,Rooks Con 2026,True
Ticket to Ride - DEMO,05/22/2026,10:00 AM,05/22/2026,11:00 AM,False,Session: DEMO,Rooks Con 2026,True
Dune Imperium Uprising - Heat 1-2,05/22/2026,10:00 AM,05/22/2026,1:00 PM,False,Session: Heat 1-2,Rooks Con 2026,True
Explorers of the North Sea - Heat 1-2,05/22/2026,10:00 AM,05/22/2026,12:00 PM,False,Session: Heat 1-2,Rooks Con 2026,True
Flamecraft - Heat 2-2,05/22/2026,10:00 AM,05/22/2026,12:00 PM,False,Session: Heat 2-2,Rooks Con 2026,True
Ticket to Ride - Heat 1-4,05/22/2026,11:00 AM,05/22/2026,1:00 PM,False,Session: Heat 1-4,Rooks Con 2026,True
Wyrmspan - Heat 2-3,05/22/2026,11:00 AM,05/22/2026,2:00 PM,False,Session: Heat 2-3,Rooks Con 2026,True
Orleans - Heat 2-2,05/22/2026,11:00 AM,05/22/2026,1:00 PM,False,Session: Heat 2-2,Rooks Con 2026,True
Space Base - Heat 3-4,05/22/2026,12:00 PM,05/22/2026,1:00 PM,False,Session: Heat 3-4,Rooks Con 2026,True
Root - Heat 3-3,05/22/2026,12:00 PM,05/22/2026,3:00 PM,False,Session: Heat 3-3,Rooks Con 2026,True
Cthulhu Wars - Heat 2-2,05/22/2026,12:00 PM,05/22/2026,4:00 PM,False,Session: Heat 2-2,Rooks Con 2026,True
Splendor - Heat 2-3,05/22/2026,1:00 PM,05/22/2026,2:00 PM,False,Session: Heat 2-3,Rooks Con 2026,True
White Castle - Heat 1-2,05/22/2026,1:00 PM,05/22/2026,3:00 PM,False,Session: Heat 1-2,Rooks Con 2026,True
Ark Nova - Heat 2-3,05/22/2026,1:00 PM,05/22/2026,5:00 PM,False,Session: Heat 2-3,Rooks Con 2026,True
Flamecraft - FINAL,05/22/2026,2:00 PM,05/22/2026,4:00 PM,False,Session: FINAL,Rooks Con 2026,True
Azul - Heat 2-3,05/22/2026,2:00 PM,05/22/2026,3:00 PM,False,Session: Heat 2-3,Rooks Con 2026,True
Brass Birmingham - Heat 1-2,05/22/2026,3:00 PM,05/22/2026,6:00 PM,False,Session: Heat 1-2,Rooks Con 2026,True
Sagrada - Heat 1-2,05/22/2026,3:00 PM,05/22/2026,4:00 PM,False,Session: Heat 1-2,Rooks Con 2026,True
Gravwell - Heat 1-3,05/22/2026,3:00 PM,05/22/2026,4:00 PM,False,Session: Heat 1-3,Rooks Con 2026,True
Nidavellir - Heat 2-2,05/22/2026,4:00 PM,05/22/2026,5:00 PM,False,Session: Heat 2-2,Rooks Con 2026,True
Harmonies - DEMO,05/22/2026,4:00 PM,05/22/2026,5:00 PM,False,Session: DEMO,Rooks Con 2026,True
Quacks - Heat 3-4,05/22/2026,4:00 PM,05/22/2026,5:00 PM,False,Session: Heat 3-4,Rooks Con 2026,True
Cthulhu Wars - FINAL,05/22/2026,5:00 PM,05/22/2026,9:00 PM,False,Session: FINAL,Rooks Con 2026,True
Harmonies - Heat 1-2,05/22/2026,5:00 PM,05/22/2026,7:00 PM,False,Session: Heat 1-2,Rooks Con 2026,True
Kingdom Builder - SEMI/FINAL,05/22/2026,5:00 PM,05/22/2026,7:00 PM,False,Session: SEMI/FINAL,Rooks Con 2026,True
Exploeres of the North Sea - Heat 2-2,05/22/2026,6:00 PM,05/22/2026,8:00 PM,False,Session: Heat 2-2,Rooks Con 2026,True
Heat Pedal to the Medal - Heat 2-2,05/22/2026,6:00 PM,05/22/2026,8:00 PM,False,Session: Heat 2-2,Rooks Con 2026,True
Cascadia - Heat 1-3,05/22/2026,7:00 PM,05/22/2026,8:00 PM,False,Session: Heat 1-3,Rooks Con 2026,True
Ecos - Heat 2-2,05/22/2026,7:00 PM,05/22/2026,9:00 PM,False,Session: Heat 2-2,Rooks Con 2026,True
Casual Clocktower (no baubles/coasters/plaques) - Open Play,05/22/2026,8:00 PM,05/22/2026,11:00 PM,False,Session: Open Play,Rooks Con 2026,True
Skyjo - Heat 2-3,05/22/2026,8:00 PM,05/22/2026,9:00 PM,False,Session: Heat 2-3,Rooks Con 2026,True
Small World - Heat 1-2,05/22/2026,8:00 PM,05/22/2026,10:00 PM,False,Session: Heat 1-2,Rooks Con 2026,True
Ticket to Ride - Heat 2-4,05/22/2026,9:00 PM,05/22/2026,11:00 PM,False,Session: Heat 2-4,Rooks Con 2026,True
Orleans - FINAL,05/22/2026,9:00 PM,05/22/2026,11:00 PM,False,Session: FINAL,Rooks Con 2026,True
Celestia - Heat 1-2,05/22/2026,9:00 PM,05/22/2026,10:00 PM,False,Session: Heat 1-2,Rooks Con 2026,True
King of Tokyo - DEMO,05/22/2026,10:30 PM,05/23/2026,12:30 AM,False,Session: DEMO,Rooks Con 2026,True
King of Tokyo - Continuous,05/22/2026,11:00 PM,05/23/2026,1:00 AM,False,Session: Continuous,Rooks Con 2026,True
Castles of Burgundy - Heat 1-2,05/23/2026,9:00 AM,05/23/2026,12:00 PM,False,Session: Heat 1-2,Rooks Con 2026,True
Brass Birmingham - Heat 2-2,05/23/2026,9:00 AM,05/23/2026,12:00 PM,False,Session: Heat 2-2,Rooks Con 2026,True
Sagrada - Heat 2-2,05/23/2026,9:00 AM,05/23/2026,10:00 AM,False,Session: Heat 2-2,Rooks Con 2026,True
Catan (Base Only) - Heat 3-3,05/23/2026,9:00 AM,05/23/2026,11:00 AM,False,Session: Heat 3-3,Rooks Con 2026,True
Skyjo - Heat 3-3,05/23/2026,10:00 AM,05/23/2026,11:00 AM,False,Session: Heat 3-3,Rooks Con 2026,True
Catan with Expansions - FINAL,05/23/2026,10:00 AM,05/23/2026,12:00 PM,False,Session: FINAL,Rooks Con 2026,True
Aquatica - Heat 2-2,05/23/2026,10:00 AM,05/23/2026,11:00 AM,False,Session: Heat 2-2,Rooks Con 2026,True
Cascadia - Heat 2-3,05/23/2026,11:00 AM,05/23/2026,12:00 PM,False,Session: Heat 2-3,Rooks Con 2026,True
Skyjo - FINAL,05/23/2026,11:00 AM,05/23/2026,12:00 PM,False,Session: FINAL,Rooks Con 2026,True
SETI - DEMO,05/23/2026,11:00 AM,05/23/2026,12:00 PM,False,Session: DEMO,Rooks Con 2026,True
Nidavellir - FINAL,05/23/2026,12:00 PM,05/23/2026,1:00 PM,False,Session: FINAL,Rooks Con 2026,True
Splendor - Heat 3-3,05/23/2026,12:00 PM,05/23/2026,1:00 PM,False,Session: Heat 3-3,Rooks Con 2026,True
Kingdomino - Heat 3-3,05/23/2026,12:00 PM,05/23/2026,1:00 PM,False,Session: Heat 3-3,Rooks Con 2026,True
Ark Nova - Heat 3-3,05/23/2026,12:00 PM,05/23/2026,4:00 PM,False,Session: Heat 3-3,Rooks Con 2026,True
Splendor - SEMI/FINAL,05/23/2026,1:00 PM,05/23/2026,3:00 PM,False,Session: SEMI/FINAL,Rooks Con 2026,True
Ticket to Ride - Heat 3-4,05/23/2026,1:00 PM,05/23/2026,3:00 PM,False,Session: Heat 3-4,Rooks Con 2026,True
River of Gold - Heat 2-2,05/23/2026,1:00 PM,05/23/2026,3:00 PM,False,Session: Heat 2-2,Rooks Con 2026,True
Root - SEMI/FINAL,05/23/2026,2:00 PM,05/23/2026,7:00 PM,False,Session: SEMI/FINAL,Rooks Con 2026,True
Tyrants of the Underdark - Heat 2-2,05/23/2026,2:00 PM,05/23/2026,4:00 PM,False,Session: Heat 2-2,Rooks Con 2026,True
Wyrmspan - Heat 3-3,05/23/2026,2:00 PM,05/23/2026,5:00 PM,False,Session: Heat 3-3,Rooks Con 2026,True
Brass Birmingham - FINAL,05/23/2026,3:00 PM,05/23/2026,6:00 PM,False,Session: FINAL,Rooks Con 2026,True
Harmonies - Heat 2-2,05/23/2026,3:00 PM,05/23/2026,5:00 PM,False,Session: Heat 2-2,Rooks Con 2026,True
Potion Explosion - DEMO,05/23/2026,3:00 PM,05/23/2026,4:00 PM,False,Session: DEMO,Rooks Con 2026,True
Dominion - Heat 3-3,05/23/2026,4:00 PM,05/23/2026,5:00 PM,False,Session: Heat 3-3,Rooks Con 2026,True
Carcassonne - Heat 3-3,05/23/2026,4:00 PM,05/23/2026,5:00 PM,False,Session: Heat 3-3,Rooks Con 2026,True
Taverns of Tiefenthal - DEMO,05/23/2026,4:00 PM,05/23/2026,5:00 PM,False,Session: DEMO,Rooks Con 2026,True
Trickerion - Heat 2-2,05/23/2026,4:00 PM,05/23/2026,7:00 PM,False,Session: Heat 2-2,Rooks Con 2026,True
Taverns of Tiefenthal - Heat 1-2,05/23/2026,5:00 PM,05/23/2026,7:00 PM,False,Session: Heat 1-2,Rooks Con 2026,True
Tyrants of the Underdark - FINAL,05/23/2026,5:00 PM,05/23/2026,7:00 PM,False,Session: FINAL,Rooks Con 2026,True
Terraforming Mars - Heat 3-3,05/23/2026,5:00 PM,05/23/2026,9:00 PM,False,Session: Heat 3-3,Rooks Con 2026,True
SETI - Heat 1-2,05/23/2026,6:00 PM,05/23/2026,10:00 PM,False,Session: Heat 1-2,Rooks Con 2026,True
Lost Ruins of Arnak - Heat 2-2,05/23/2026,6:00 PM,05/23/2026,9:00 PM,False,Session: Heat 2-2,Rooks Con 2026,True
Dominion - SEMI/FINAL,05/23/2026,6:00 PM,05/23/2026,8:00 PM,False,Session: SEMI/FINAL,Rooks Con 2026,True
Aquatica - SEMI/FINAL,05/23/2026,6:00 PM,05/23/2026,8:00 PM,False,Session: SEMI/FINAL,Rooks Con 2026,True
Harmonies - FINAL,05/23/2026,7:00 PM,05/23/2026,9:00 PM,False,Session: FINAL,Rooks Con 2026,True
Azul - Heat 3-3,05/23/2026,7:00 PM,05/23/2026,8:00 PM,False,Session: Heat 3-3,Rooks Con 2026,True
Wyrmspan - SEMI,05/23/2026,7:00 PM,05/23/2026,10:00 PM,False,Session: SEMI,Rooks Con 2026,True
Casual Clocktower (no baubles/coasters/plaques) - Open Play,05/23/2026,8:00 PM,05/23/2026,11:00 PM,False,Session: Open Play,Rooks Con 2026,True
Bluey Keepy Uppy - Continuous,05/23/2026,8:00 PM,05/23/2026,10:00 PM,False,Session: Continuous,Rooks Con 2026,True
Wingspan - Heat 1-3,05/23/2026,8:00 PM,05/23/2026,11:00 PM,False,Session: Heat 1-3,Rooks Con 2026,True
Cascadia - Heat 3-3,05/23/2026,8:00 PM,05/23/2026,9:00 PM,False,Session: Heat 3-3,Rooks Con 2026,True
Cascadia - SEMI,05/23/2026,9:00 PM,05/23/2026,10:00 PM,False,Session: SEMI,Rooks Con 2026,True
Lost Ruins of Arnak - FINAL,05/23/2026,9:00 PM,05/24/2026,12:00 AM,False,Session: FINAL,Rooks Con 2026,True
Small World - Heat 2-2,05/23/2026,9:00 PM,05/23/2026,11:00 PM,False,Session: Heat 2-2,Rooks Con 2026,True
Sagrada - FINAL,05/23/2026,10:00 PM,05/23/2026,11:00 PM,False,Session: FINAL,Rooks Con 2026,True
Poker Tournament - Continuous,05/23/2026,11:00 PM,05/24/2026,1:00 AM,False,Session: Continuous,Rooks Con 2026,True
Taverns of Tiefenthal - Heat 2-2,05/24/2026,9:00 AM,05/24/2026,11:00 AM,False,Session: Heat 2-2,Rooks Con 2026,True
Dune Imperium Uprising - Heat 2-2,05/24/2026,9:00 AM,05/24/2026,12:00 PM,False,Session: Heat 2-2,Rooks Con 2026,True
Scythe - DEMO,05/24/2026,9:00 AM,05/24/2026,10:00 AM,False,Session: DEMO,Rooks Con 2026,True
Celstia - Heat 2-2,05/24/2026,9:00 AM,05/24/2026,10:00 AM,False,Session: Heat 2-2,Rooks Con 2026,True
Terraforming Mars - SEMI/FINAL,05/24/2026,10:00 AM,05/24/2026,4:00 PM,False,Session: SEMI/FINAL,Rooks Con 2026,True
UnMatched - DEMO,05/24/2026,10:00 AM,05/24/2026,11:00 AM,False,Session: DEMO,Rooks Con 2026,True
Scythe - Heat 1-2,05/24/2026,10:00 AM,05/24/2026,1:00 PM,False,Session: Heat 1-2,Rooks Con 2026,True
Ark Nova - SEMI,05/24/2026,10:00 AM,05/24/2026,2:00 PM,False,Session: SEMI,Rooks Con 2026,True
Explorers of the North Sea - FINAL,05/24/2026,11:00 AM,05/24/2026,1:00 PM,False,Session: FINAL,Rooks Con 2026,True
Wingspan - Heat 2-3,05/24/2026,11:00 AM,05/24/2026,2:00 PM,False,Session: Heat 2-3,Rooks Con 2026,True
Carcassonne - SEMI/FINAL,05/24/2026,12:00 PM,05/24/2026,2:00 PM,False,Session: SEMI/FINAL,Rooks Con 2026,True
Potion Explosion - Heat 1-2,05/24/2026,12:00 PM,05/24/2026,1:00 PM,False,Session: Heat 1-2,Rooks Con 2026,True
Gravwell - Heat 2-3,05/24/2026,12:00 PM,05/24/2026,1:00 PM,False,Session: Heat 2-3,Rooks Con 2026,True
Celestia - SEMI/FINAL,05/24/2026,12:00 PM,05/24/2026,2:00 PM,False,Session: SEMI/FINAL,Rooks Con 2026,True
Kingdomino - SEMI/FINAL,05/24/2026,1:00 PM,05/24/2026,3:00 PM,False,Session: SEMI/FINAL,Rooks Con 2026,True
Castles of Burgundy - Heat 2-2,05/24/2026,1:00 PM,05/24/2026,4:00 PM,False,Session: Heat 2-2,Rooks Con 2026,True
Heat Pedal to the Medal - FINAL,05/24/2026,1:00 PM,05/24/2026,3:00 PM,False,Session: FINAL,Rooks Con 2026,True
Ticket to Ride - Heat 4-4,05/24/2026,2:00 PM,05/24/2026,4:00 PM,False,Session: Heat 4-4,Rooks Con 2026,True
Space Base - Heat 4-4,05/24/2026,2:00 PM,05/24/2026,3:00 PM,False,Session: Heat 4-4,Rooks Con 2026,True
River of Gold - SEMI/FINAL,05/24/2026,2:00 PM,05/24/2026,5:00 PM,False,Session: SEMI/FINAL,Rooks Con 2026,True
White Castle - Heat 2-2,05/24/2026,3:00 PM,05/24/2026,5:00 PM,False,Session: Heat 2-2,Rooks Con 2026,True
Wyrmspan - FINAL,05/24/2026,3:00 PM,05/24/2026,6:00 PM,False,Session: FINAL,Rooks Con 2026,True
Catan (Base Only) - SEMI,05/24/2026,3:00 PM,05/24/2026,5:00 PM,False,Session: SEMI,Rooks Con 2026,True
Ark Nova - FINAL,05/24/2026,3:00 PM,05/24/2026,7:00 PM,False,Session: FINAL,Rooks Con 2026,True
Potion Explosion - Heat 2-2,05/24/2026,4:00 PM,05/24/2026,5:00 PM,False,Session: Heat 2-2,Rooks Con 2026,True
Taverns of Tiefenthal - SEMI/FINAL,05/24/2026,4:00 PM,05/24/2026,7:00 PM,False,Session: SEMI/FINAL,Rooks Con 2026,True
